Date,Close,Open,High,Low,Volume
2023-09-20,82453.94,82453.94,82453.94,82453.94,0
2023-09-21,82769.97,82769.97,82769.97,82769.97,0
2023-09-22,82672.94,82672.94,82672.94,82672.94,0
2023-09-25,82812.86,82812.86,82812.86,82812.86,0
2023-09-26,82959.66,82959.66,82959.66,82959.66,0
2023-09-27,79579.07,79579.07,79579.07,79579.07,0
2023-10-04,79144.45,79144.45,79144.45,79144.45,0
2023-10-05,78824.42,78824.42,78824.42,78824.42,0
2023-10-06,80459.61,80459.61,80459.61,80459.61,0
2023-10-10,80565.23,80565.23,80565.23,80565.23,0
2023-10-11,80804.5,80804.5,80804.5,80804.5,0
2023-10-12,81107.4,81107.4,81107.4,81107.4,0
2023-10-13,83830.93,83830.93,83830.93,83830.93,0
2023-10-16,83518.98,83518.98,83518.98,83518.98,0
2023-10-17,83815.96,83815.96,83815.96,83815.96,0
2023-10-18,85029.08,85029.08,85029.08,85029.08,0
2023-10-19,85598.94,85598.94,85598.94,85598.94,0
2023-10-20,86227.63,86227.63,86227.63,86227.63,0
2023-10-23,85893.09,85893.09,85893.09,85893.09,0
2023-10-24,85575.48,85575.48,85575.48,85575.48,0
2023-10-25,86120.73,86120.73,86120.73,86120.73,0
2023-10-26,86688.57,86688.57,86688.57,86688.57,0
2023-10-27,86500.33,86500.33,86500.33,86500.33,0
2023-10-30,86716.03,86716.03,86716.03,86716.03,0
2023-10-31,86440.45,86440.45,86440.45,86440.45,0
2023-11-01,86140.24,86140.24,86140.24,86140.24,0
2023-11-02,84990.6,84990.6,84990.6,84990.6,0
2023-11-03,83655.58,83655.58,83655.58,83655.58,0
2023-11-06,82772.42,82772.42,82772.42,82772.42,0
2023-11-07,82524.94,82524.94,82524.94,82524.94,0
2023-11-08,82297.88,82297.88,82297.88,82297.88,0
2023-11-09,82652.04,82652.04,82652.04,82652.04,0
2023-11-10,82401.6,82401.6,82401.6,82401.6,0
2023-11-13,82642.42,82642.42,82642.42,82642.42,0
2023-11-14,82512.26,82512.26,82512.26,82512.26,0
2023-11-15,82181.9,82181.9,82181.9,82181.9,0
2023-11-16,82484.08,82484.08,82484.08,82484.08,0
2023-11-17,82524.68,82524.68,82524.68,82524.68,0
2023-11-20,81891.0,81891.0,81891.0,81891.0,0
2023-11-21,83159.7,83159.7,83159.7,83159.7,0
2023-11-22,83477.9,83477.9,83477.9,83477.9,0
2023-11-23,83316.54,83316.54,83316.54,83316.54,0
2023-11-24,83895.31,83895.31,83895.31,83895.31,0
2023-11-27,84135.85,84135.85,84135.85,84135.85,0
2023-11-28,84591.49,84591.49,84591.49,84591.49,0
2023-11-29,84984.44,84984.44,84984.44,84984.44,0
2023-11-30,85209.02,85209.02,85209.02,85209.02,0
2023-12-01,85914.49,85914.49,85914.49,85914.49,0
2023-12-04,85335.88,85335.88,85335.88,85335.88,0
2023-12-05,85352.26,85352.26,85352.26,85352.26,0
2023-12-06,85796.91,85796.91,85796.91,85796.91,0
2023-12-07,85579.98,85579.98,85579.98,85579.98,0
2023-12-08,84778.21,84778.21,84778.21,84778.21,0
2023-12-11,84131.69,84131.69,84131.69,84131.69,0
2023-12-12,83814.59,83814.59,83814.59,83814.59,0
2023-12-13,83953.56,83953.56,83953.56,83953.56,0
2023-12-14,84658.08,84658.08,84658.08,84658.08,0
2023-12-15,85198.47,85198.47,85198.47,85198.47,0
2023-12-18,84789.99,84789.99,84789.99,84789.99,0
2023-12-19,85924.14,85924.14,85924.14,85924.14,0
2023-12-20,85214.37,85214.37,85214.37,85214.37,0
2023-12-21,85470.96,85470.96,85470.96,85470.96,0
2023-12-22,86099.82,86099.82,86099.82,86099.82,0
2023-12-26,85852.8,85852.8,85852.8,85852.8,0
2023-12-27,86670.85,86670.85,86670.85,86670.85,0
2023-12-28,85965.34,85965.34,85965.34,85965.34,0
2023-12-29,86056.0,86056.0,86056.0,86056.0,0
2024-01-02,87082.65,87082.65,87082.65,87082.65,0
2024-01-03,85623.35,85623.35,85623.35,85623.35,0
2024-01-04,86293.24,86293.24,86293.24,86293.24,0
2024-01-05,86286.68,86286.68,86286.68,86286.68,0
2024-01-08,85968.78,85968.78,85968.78,85968.78,0
2024-01-09,86238.55,86238.55,86238.55,86238.55,0
2024-01-10,86109.78,86109.78,86109.78,86109.78,0
2024-01-11,85605.69,85605.69,85605.69,85605.69,0
2024-01-12,86396.24,86396.24,86396.24,86396.24,0
2024-01-15,87298.0,87298.0,87298.0,87298.0,0
2024-01-16,87550.11,87550.11,87550.11,87550.11,0
2024-01-17,86910.0,86910.0,86910.0,86910.0,0
2024-01-18,86767.18,86767.18,86767.18,86767.18,0
2024-01-19,87034.55,87034.55,87034.55,87034.55,0
2024-01-22,87218.42,87218.42,87218.42,87218.42,0
2024-01-23,87272.99,87272.99,87272.99,87272.99,0
2024-01-24,86261.65,86261.65,86261.65,86261.65,0
2024-01-25,86585.45,86585.45,86585.45,86585.45,0
2024-01-26,86614.26,86614.26,86614.26,86614.26,0
